sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3433347218, 0.47708427906036377, -0.489459753036499, -0.42331355810165405, -0.5946486592292786, 0, 0, 0, 0, 0, 0, -0.789794921875, -0.088623046875, 0.115966796875, 
1, 3433355551, 0.47715646028518677, -0.48923805356025696, -0.4229123890399933, -0.5950585007667542, 9.534006118774414, 0.673451840877533, 1.3411059379577637, -3.9319896697998047, 7.951464653015137, -0.7135100364685059, -0.788330078125, -0.088134765625, 0.114013671875, 
2, 3433363884, 0.47707703709602356, -0.4890901446342468, -0.42249149084091187, -0.5955426096916199, 9.561872482299805, 0.7897654175758362, 1.259542465209961, -6.281507968902588, 7.058042049407959, -1.9315698146820068, -0.789794921875, -0.086181640625, 0.114990234375, 
3, 3433372217, 0.4767753481864929, -0.4890933036804199, -0.4220191240310669, -0.5961162447929382, 9.606968879699707, 0.9158696532249451, 1.281449556350708, -10.151742935180664, 5.478257656097412, -3.1784708499908447, -0.788330078125, -0.088134765625, 0.111083984375, 
4, 3433380550, 0.4760779142379761, -0.4894355535507202, -0.42125996947288513, -0.5969292521476746, 9.75020980834961, 0.9329214096069336, 1.4823336601257324, -18.332857131958008, 3.8833370208740234, -4.033398151397705, -0.790283203125, -0.087646484375, 0.111572265625, 
5, 3433388883, 0.4750012755393982, -0.49016812443733215, -0.42011067271232605, -0.5979947447776794, 9.9109525680542, 0.8419865369796753, 1.6397708654403687, -28.234743118286133, 2.758463144302368, -3.9177772998809814, -0.7890625, -0.0908203125, 0.1083984375, 
6, 3433397216, 0.4737359583377838, -0.4911322295665741, -0.4187189042568207, -0.5991824865341187, 9.966646194458008, 0.6315582990646362, 1.6117286682128906, -33.590797424316406, 2.150022268295288, -3.2911250591278076, -0.78955078125, -0.09033203125, 0.10888671875, 
7, 3433405549, 0.4724695086479187, -0.49212646484375, -0.41724321246147156, -0.6003949046134949, 9.920967102050781, 0.4503932297229767, 1.5782597064971924, -34.56411361694336, 2.6389477252960205, -2.6924688816070557, -0.7890625, -0.0927734375, 0.10791015625, 
8, 3433413882, 0.47132211923599243, -0.4930263161659241, -0.4158884584903717, -0.60149747133255, 9.896951675415039, 0.3287676274776459, 1.5179147720336914, -31.582046508789062, 2.5413057804107666, -2.3835604190826416, -0.7890625, -0.092041015625, 0.10498046875, 
9, 3433422215, 0.47032368183135986, -0.4938448667526245, -0.4147133231163025, -0.602418065071106, 9.935980796813965, 0.3036528527736664, 1.6589818000793457, -27.742950439453125, 1.6865320205688477, -1.6783994436264038, -0.79052734375, -0.093017578125, 0.10595703125, 
10, 3433430548, 0.46939408779144287, -0.4946887493133545, -0.41349756717681885, -0.6032857894897461, 9.98022174835205, 0.3058094084262848, 1.882375955581665, -27.248031616210938, 1.7538464069366455, -0.32056236267089844, -0.79052734375, -0.093017578125, 0.10400390625, 
11, 3433438881, 0.46852314472198486, -0.4955542981624603, -0.41216719150543213, -0.6041620969772339, 9.99910831451416, 0.31179821491241455, 1.9916666746139526, -27.987390518188477, 2.735666513442993, 1.0292704105377197, -0.7890625, -0.096435546875, 0.104248046875, 
