sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3678087428, 0.7267551422119141, -0.6055840253829956, 0.23340196907520294, -0.22503018379211426, 0, 0, 0, 0, 0, 0, -0.216552734375, 0.896484375, 0.057373046875, 
1, 3678095761, 0.726580023765564, -0.6055965423583984, 0.23384468257427216, -0.22510215640068054, -0.8450326919555664, -9.91086196899414, 1.1773712635040283, -3.0483498573303223, 4.439138889312744, 2.3055500984191895, -0.215087890625, 0.897216796875, 0.060546875, 
2, 3678104094, 0.7265315055847168, -0.6055499315261841, 0.2341223657131195, -0.22509591281414032, -0.8545335531234741, -9.85448169708252, 1.1734299659729004, -1.3115513324737549, 2.341768980026245, 2.2371602058410645, -0.213134765625, 0.896484375, 0.05712890625, 
3, 3678112427, 0.7265599966049194, -0.6054735779762268, 0.2342836558818817, -0.22504132986068726, -0.803109347820282, -9.831387519836426, 1.1572879552841187, 0.005955308675765991, 0.26176464557647705, 2.12958025932312, -0.2158203125, 0.8974609375, 0.05615234375, 
4, 3678120760, 0.7266757488250732, -0.6053745746612549, 0.23429813981056213, -0.22491906583309174, -0.7704538702964783, -9.839937210083008, 1.169215202331543, 1.020150899887085, -1.6230202913284302, 1.882275104522705, -0.214599609375, 0.896484375, 0.05712890625, 
5, 3678129093, 0.7268418669700623, -0.6052576899528503, 0.23422348499298096, -0.22477371990680695, -0.7277284264564514, -9.848370552062988, 1.2264411449432373, 1.9960532188415527, -3.244145154953003, 1.6391699314117432, -0.216064453125, 0.895751953125, 0.057861328125, 
6, 3678137426, 0.7270815968513489, -0.6051260232925415, 0.23402562737464905, -0.22455920279026031, -0.6602784395217896, -9.852677345275879, 1.2743468284606934, 2.736663579940796, -4.8092780113220215, 1.5249563455581665, -0.215087890625, 0.89453125, 0.055419921875, 
7, 3678145759, 0.7273656725883484, -0.6049756407737732, 0.2337469458580017, -0.22433432936668396, -0.5883373022079468, -9.817112922668457, 1.3307075500488281, 3.511673927307129, -5.7899699211120605, 1.1536012887954712, -0.213134765625, 0.89599609375, 0.05615234375, 
8, 3678154092, 0.7276660799980164, -0.6048064827919006, 0.2334338128566742, -0.22414234280586243, -0.5861361026763916, -9.84123706817627, 1.3202799558639526, 4.224902153015137, -6.266062259674072, 0.7003829479217529, -0.21533203125, 0.89794921875, 0.054443359375, 
9, 3678162425, 0.7279722094535828, -0.6046345233917236, 0.23309051990509033, -0.22396984696388245, -0.559272825717926, -9.855189323425293, 1.3299490213394165, 4.456608772277832, -6.489393711090088, 0.29373130202293396, -0.2158203125, 0.89599609375, 0.052001953125, 
10, 3678170758, 0.7282891273498535, -0.6044678688049316, 0.23270848393440247, -0.22378692030906677, -0.598591685295105, -9.76084041595459, 1.3411812782287598, 4.398311138153076, -6.530375957489014, 0.028086014091968536, -0.214599609375, 0.89599609375, 0.055419921875, 
11, 3678179091, 0.7285736799240112, -0.6043227314949036, 0.23233182728290558, -0.22364293038845062, -0.6102463603019714, -9.636554718017578, 1.3813514709472656, 4.201132297515869, -6.6089348793029785, -0.41848546266555786, -0.211669921875, 0.89794921875, 0.0556640625, 
12, 3678187424, 0.7288548946380615, -0.6041913628578186, 0.23192980885505676, -0.223499596118927, -0.6450104117393494, -9.599372863769531, 1.4424976110458374, 3.9380476474761963, -6.395105838775635, -0.7568494081497192, -0.2138671875, 0.89794921875, 0.05419921875, 
13, 3678195757, 0.7290865182876587, -0.6040903925895691, 0.23155641555786133, -0.22340407967567444, -0.6071228981018066, -9.612200736999512, 1.529801845550537, 3.474865436553955, -6.0066657066345215, -1.2011538743972778, -0.212646484375, 0.89697265625, 0.05322265625, 
14, 3678204090, 0.7293055057525635, -0.6039919853210449, 0.23117734491825104, -0.2233479917049408, -0.5932367444038391, -9.622742652893066, 1.6006343364715576, 3.2978456020355225, -5.343565464019775, -1.7370039224624634, -0.21484375, 0.896484375, 0.051513671875, 
15, 3678212423, 0.7294750213623047, -0.6039060950279236, 0.23084893822669983, -0.22336626052856445, -0.5394875407218933, -9.572190284729004, 1.648944616317749, 3.028895854949951, -4.463075637817383, -2.2061028480529785, -0.21484375, 0.897705078125, 0.050537109375, 
16, 3678220756, 0.7296293377876282, -0.6038089990615845, 0.23055127263069153, -0.22343266010284424, -0.49768730998039246, -9.523392677307129, 1.646530270576477, 2.885481834411621, -3.3083600997924805, -2.49308443069458, -0.213623046875, 0.896728515625, 0.051513671875, 
17, 3678229089, 0.7297250032424927, -0.603717029094696, 0.2303362935781479, -0.22358927130699158, -0.4838581383228302, -9.499381065368652, 1.614717960357666, 2.56197452545166, -2.006030321121216, -2.8446147441864014, -0.214599609375, 0.8955078125, 0.052001953125, 
